         14179 function calls (13950 primitive calls) in 0.020 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.020    0.020 D:\MockClaw\scripts\profile_startup.py:13(profile_startup)
     19/3    0.000    0.000    0.018    0.006 <frozen importlib._bootstrap>:1349(_find_and_load)
     19/3    0.000    0.000    0.018    0.006 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     19/5    0.000    0.000    0.017    0.003 <frozen importlib._bootstrap>:911(_load_unlocked)
     14/5    0.000    0.000    0.017    0.003 <frozen importlib._bootstrap_external>:1017(exec_module)
     43/8    0.000    0.000    0.016    0.002 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     17/5    0.001    0.000    0.015    0.003 {built-in method builtins.exec}
        1    0.000    0.000    0.006    0.006 D:\MockClaw\src\core\generator.py:1(<module>)
        1    0.000    0.000    0.006    0.006 D:\MockClaw\src\core\parser.py:212(get_endpoints)
        1    0.000    0.000    0.006    0.006 D:\MockClaw\src\core\parser.py:178(parse)
        1    0.000    0.000    0.006    0.006 D:\MockClaw\src\core\parser.py:1(<module>)
       14    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1090(get_code)
       11    0.000    0.000    0.005    0.000 D:\MockClaw\src\core\parser.py:103(_extract_url_path)
       19    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       16    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1548(find_spec)
       16    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1519(_get_spec)
        1    0.000    0.000    0.004    0.004 C:\Users\yangquanheng\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\orjson\__init__.py:1(<module>)
       41    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1621(find_spec)
        1    0.000    0.000    0.003    0.003 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\urllib\parse.py:1(<module>)
        1    0.000    0.000    0.003    0.003 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\json\__init__.py:1(<module>)
       24    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1211(get_data)
      2/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:1323(exec_module)
      2/1    0.000    0.000    0.003    0.003 {built-in method _imp.exec_dynamic}
       94    0.002    0.000    0.002    0.000 {built-in method nt.stat}
       92    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
        3    0.000    0.000    0.002    0.001 {built-in method builtins.__import__}
       19    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       11    0.000    0.000    0.002    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\re\__init__.py:287(compile)
       11    0.000    0.000    0.002    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\re\__init__.py:330(_compile)
       14    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:779(_compile_bytecode)
       40    0.000    0.000    0.002    0.000 {built-in method builtins.__build_class__}
       24    0.001    0.000    0.001    0.000 {built-in method _io.open_code}
       11    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\re\_compiler.py:743(compile)
        1    0.000    0.000    0.001    0.001 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\json\decoder.py:1(<module>)
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1315(create_module)
        2    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
      202    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
       14    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.001    0.001 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\ipaddress.py:1(<module>)
        3    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\dataclasses.py:1277(dataclass)
        3    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\dataclasses.py:1294(wrap)
        3    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\dataclasses.py:929(_process_class)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       24    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.001    0.001 D:\MockClaw\src\core\generator.py:307(generate_all)
        1    0.000    0.000    0.001    0.001 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\uuid.py:1(<module>)
       30    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
       11    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\re\_parser.py:970(parse)
        3    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\dataclasses.py:470(add_fns_to_class)
    19/11    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\re\_parser.py:451(_parse_sub)
    21/11    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\re\_parser.py:511(_parse)
        1    0.000    0.000    0.001    0.001 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\json\scanner.py:1(<module>)
       11    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\re\_compiler.py:576(_code)
        1    0.000    0.000    0.001    0.001 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\pathlib\_local.py:548(write_text)
        1    0.000    0.000    0.001    0.001 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\pathlib\_abc.py:644(write_text)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1672(_fill_cache)
       57    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1497(_path_importer_cache)
       26    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:509(cache_from_source)
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\ipaddress.py:2392(_IPv6Constants)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1484(_path_hooks)
       35    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\ipaddress.py:2316(__init__)
        5    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        2    0.000    0.000    0.000    0.000 {built-in method _io.open}
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1230(path_stats)
    40/11    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\re\_compiler.py:37(_compile)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\pathlib\_local.py:529(open)
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\json\encoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\ipaddress.py:1579(_IPv4Constants)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
       21    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\ipaddress.py:1512(__init__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:639(_get_cached)
        3    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\collections\__init__.py:358(namedtuple)
        1    0.000    0.000    0.000    0.000 D:\MockClaw\src\core\parser.py:75(load_har)
       52    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\ipaddress.py:1939(__init__)
        6    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1713(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\pathlib\_local.py:717(mkdir)
       31    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\ipaddress.py:1286(__init__)
1528/1485    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\json\__init__.py:278(load)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1616(_get_spec)
       22    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\re\_compiler.py:241(_optimize_charset)
       35    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\ipaddress.py:1661(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\datetime.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 {built-in method nt.mkdir}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
       22    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\ipaddress.py:1187(_ip_int_from_string)
       11    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\re\_compiler.py:514(_compile_info)
        6    0.000    0.000    0.000    0.000 D:\MockClaw\src\core\generator.py:283(generate_endpoint)
      968    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
       11    0.000    0.000    0.000    0.000 D:\MockClaw\src\core\parser.py:82(_is_static_asset)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:830(spec_from_file_location)
       44    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       11    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\urllib\parse.py:374(urlparse)
        6    0.000    0.000    0.000    0.000 D:\MockClaw\src\core\generator.py:236(_generate_with_llm)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      920    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
      848    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       56    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\ipaddress.py:533(_split_addr_prefix)
        3    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        6    0.000    0.000    0.000    0.000 D:\MockClaw\src\core\generator.py:259(_generate_fallback_code)
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\json\__init__.py:304(loads)
        5    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\pathlib\_local.py:166(__fspath__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\json\decoder.py:340(decode)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
      634    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        5    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\pathlib\_local.py:227(__str__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\enum.py:1754(convert_class)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
      597    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      286    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\json\decoder.py:351(raw_decode)
       88    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\ipaddress.py:1213(_parse_octet)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
        6    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\urllib\parse.py:469(urlsplit)
      208    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\re\_parser.py:167(__getitem__)
       15    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\dataclasses.py:768(_get_field)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1595(__init__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:177(_path_isabs)
        2    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\pathlib\_local.py:510(stat)
       35    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
